user_id,user_url,posted,item_id,recommend,coincide,sentiment_analysis
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,"Posted November 5, 2011.",1250,True,False,2
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,"Posted July 15, 2011.",22200,True,False,2
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,"Posted April 21, 2011.",43110,True,False,2
js41637,http://steamcommunity.com/id/js41637,"Posted June 24, 2014.",251610,True,False,2
js41637,http://steamcommunity.com/id/js41637,"Posted September 8, 2013.",227300,True,False,2
js41637,http://steamcommunity.com/id/js41637,"Posted November 29, 2013.",239030,True,False,2
evcentric,http://steamcommunity.com/id/evcentric,Posted February 3.,248820,True,False,2
evcentric,http://steamcommunity.com/id/evcentric,"Posted December 4, 2015.",370360,True,False,2
evcentric,http://steamcommunity.com/id/evcentric,"Posted November 3, 2014.",237930,True,False,2
evcentric,http://steamcommunity.com/id/evcentric,"Posted October 15, 2014.",263360,True,False,1
evcentric,http://steamcommunity.com/id/evcentric,"Posted October 15, 2014.",107200,True,False,2
evcentric,http://steamcommunity.com/id/evcentric,"Posted October 15, 2014.",224500,True,False,2
doctr,http://steamcommunity.com/id/doctr,"Posted October 14, 2013.",250320,True,False,2
doctr,http://steamcommunity.com/id/doctr,"Posted July 28, 2012.",20920,True,False,2
doctr,http://steamcommunity.com/id/doctr,"Posted June 2, 2012.",204100,True,False,2
doctr,http://steamcommunity.com/id/doctr,"Posted June 29, 2014.",224600,True,False,2
doctr,http://steamcommunity.com/id/doctr,"Posted November 22, 2012.",207610,True,False,0
doctr,http://steamcommunity.com/id/doctr,"Posted February 23, 2012.",108710,True,False,2
maplemage,http://steamcommunity.com/id/maplemage,"Posted April 15, 2014.",211420,True,False,1
maplemage,http://steamcommunity.com/id/maplemage,"Posted December 23, 2013.",211820,True,False,2
maplemage,http://steamcommunity.com/id/maplemage,"Posted March 14, 2014.",730,True,False,2
maplemage,http://steamcommunity.com/id/maplemage,"Posted July 11, 2013.",204300,True,False,2
Wackky,http://steamcommunity.com/id/Wackky,"Posted May 5, 2014.",249130,True,False,1
Wackky,http://steamcommunity.com/id/Wackky,"Posted December 24, 2012.",207610,True,False,1
Wackky,http://steamcommunity.com/id/Wackky,"Posted October 21, 2012.",550,True,False,2
Wackky,http://steamcommunity.com/id/Wackky,"Posted March 20, 2012.",65800,True,False,2
Wackky,http://steamcommunity.com/id/Wackky,"Posted March 9, 2012.",220,True,False,2
76561198079601835,http://steamcommunity.com/profiles/76561198079601835,Posted May 20.,730,True,False,1
MeaTCompany,http://steamcommunity.com/id/MeaTCompany,Posted July 24.,730,True,False,2
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,"Posted February 1, 2015.",72850,True,False,0
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,"Posted June 20, 2014.",440,True,False,1
76561198156664158,http://steamcommunity.com/profiles/76561198156664158,Posted June 16.,252950,True,False,2
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,Posted June 11.,440,True,False,1
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,"Posted August 25, 2014.",304930,True,False,1
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,"Posted December 25, 2013.",4000,True,False,1
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,"Posted June 23, 2012.",42910,True,False,1
death-hunter,http://steamcommunity.com/id/death-hunter,"Posted September 5, 2015.",232090,True,False,2
death-hunter,http://steamcommunity.com/id/death-hunter,"Posted March 30, 2015.",1250,True,False,2
death-hunter,http://steamcommunity.com/id/death-hunter,"Posted February 19, 2014.",4000,True,False,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,"Posted July 14, 2014.",304930,True,False,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,"Posted April 27, 2013.",570,True,False,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,"Posted July 20, 2015.",218620,True,False,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,"Posted November 4, 2013.",224260,True,False,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,"Posted July 12, 2013.",1250,True,False,0
DJKamBer,http://steamcommunity.com/id/DJKamBer,"Posted August 19, 2012.",440,True,False,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,"Posted June 19, 2015.",730,True,False,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,"Posted September 20, 2014.",440,True,False,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,"Posted September 7, 2014.",49520,True,False,1
76561198043472122,http://steamcommunity.com/profiles/76561198043472122,"Posted December 19, 2014.",33440,False,False,1
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,"Posted February 17, 2015.",220200,True,False,2
PPanther,http://steamcommunity.com/id/PPanther,"Posted June 7, 2014.",211820,True,False,2
devvonst,http://steamcommunity.com/id/devvonst,"Posted February 12, 2014.",440,True,False,2
devvonst,http://steamcommunity.com/id/devvonst,"Posted February 9, 2014.",218740,True,False,2
devvonst,http://steamcommunity.com/id/devvonst,"Posted October 31, 2015.",550,True,False,2
Fr0stedLine,http://steamcommunity.com/id/Fr0stedLine,Posted February 27.,220,True,False,2
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,"Posted February 4, 2015.",238090,True,False,0
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,Posted August 23.,242130,True,False,0
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,"Posted April 5, 2014.",277430,True,False,2
76561198058373434,http://steamcommunity.com/profiles/76561198058373434,"Posted January 8, 2015.",8870,True,False,2
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,"Posted October 26, 2015.",368230,True,False,0
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,Posted May 16.,4000,True,False,2
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,"Posted March 20, 2013.",33930,True,False,2
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,"Posted December 28, 2015.",359320,False,False,0
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,"Posted May 19, 2015.",219640,True,False,2
tru_mu_,http://steamcommunity.com/id/tru_mu_,"Posted December 15, 2015.",287980,True,False,2
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,Posted March 31.,218620,True,False,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,"Posted August 21, 2015.",208090,True,False,2
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,"Posted October 17, 2014.",242700,True,False,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,"Posted June 27, 2014.",570,False,False,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,"Posted April 28, 2014.",224260,True,False,1
SavageEeEe,http://steamcommunity.com/id/SavageEeEe,"Posted November 12, 2015.",221100,True,False,2
76561198076909484,http://steamcommunity.com/profiles/76561198076909484,"Posted June 18, 2014.",570,True,False,2
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,"Posted November 20, 2014.",331470,True,False,2
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,"Posted May 29, 2014.",4000,True,False,2
Leaf_Light_Moscow,http://steamcommunity.com/id/Leaf_Light_Moscow,Posted July 9.,323370,True,False,2
